		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Hum		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	2nd	2nd	ET 	Samp	Tx 	Recept	Int.
02/23/22	9:40 a	0.1	0.3	-0.1	39	-12.3	0.4	NNE	0.27	2.2	NW	0.1	-0.5	-0.5	---	1033.3	0.00	0.0	---	---	---	0.127	0.000	0.8	51	-8.2	0.3	9.85	1.3105	---	---	0.00	202	6	100.0	10
02/23/22	9:50 a	0.3	0.6	0.1	40	-11.8	0.9	NNE	0.54	2.7	N	-0.3	-0.3	-0.8	---	1033.2	0.00	0.0	---	---	---	0.125	0.000	0.9	51	-8.1	0.4	9.85	1.3096	---	---	0.00	202	6	100.0	10
02/23/22	10:00 a	0.8	1.1	0.6	41	-11.0	0.9	ENE	0.54	2.7	ENE	0.3	0.2	-0.3	---	1033.2	0.00	0.0	---	---	---	0.122	0.000	1.1	51	-7.9	0.6	9.85	1.3088	---	---	0.00	205	6	100.0	10
02/23/22	10:10 a	1.2	1.3	1.1	40	-11.0	0.9	ENE	0.54	2.7	NE	0.7	0.6	0.1	---	1033.3	0.00	0.0	---	---	---	0.119	0.000	1.3	51	-7.7	0.8	9.85	1.3077	---	---	0.00	204	6	100.0	10
02/23/22	10:20 a	1.0	1.3	0.8	40	-11.1	0.9	NNE	0.54	3.6	NNW	0.5	0.4	-0.1	---	1033.3	0.00	0.0	---	---	---	0.120	0.000	1.6	51	-7.5	1.1	9.85	1.3066	---	---	0.00	203	6	100.0	10
02/23/22	10:30 a	0.8	0.9	0.7	38	-12.0	0.9	N	0.54	2.7	N	0.3	0.2	-0.3	---	1033.3	0.00	0.0	---	---	---	0.122	0.000	1.9	51	-7.2	1.4	9.84	1.3049	---	---	0.00	203	6	100.0	10
02/23/22	10:40 a	0.8	1.0	0.6	35	-12.9	0.9	NNW	0.54	2.2	NNE	0.3	0.2	-0.3	---	1033.2	0.00	0.0	---	---	---	0.122	0.000	2.6	52	-6.3	2.0	10.02	1.3014	---	---	0.00	204	6	100.0	10
02/23/22	10:50 a	1.1	1.3	0.8	34	-13.1	0.9	ENE	0.54	2.2	ENE	0.6	0.4	-0.1	---	1033.1	0.00	0.0	---	---	---	0.120	0.000	4.5	54	-4.0	3.9	10.25	1.2912	---	---	0.00	205	6	100.0	10
02/23/22	11:00 a	1.5	1.8	1.3	32	-13.4	0.9	ENE	0.54	2.2	N	1.1	0.8	0.3	---	1033.2	0.00	0.0	---	---	---	0.117	0.000	7.3	55	-1.1	6.8	10.25	1.2770	---	---	0.00	199	6	98.5	10
02/23/22	11:10 a	2.0	2.2	1.8	29	-14.2	0.9	ENE	0.54	2.7	N	1.6	1.2	0.8	---	1033.4	0.00	0.0	---	---	---	0.113	0.000	10.2	55	1.6	9.7	10.26	1.2627	---	---	0.00	204	6	100.0	10
02/23/22	11:20 a	2.4	2.5	2.2	29	-13.9	0.9	NNW	0.54	1.8	N	2.1	1.6	1.3	---	1033.3	0.00	0.0	---	---	---	0.111	0.000	12.8	54	3.7	11.9	10.15	1.2499	---	---	0.00	205	6	100.0	10
02/23/22	11:30 a	2.3	2.4	2.0	29	-14.0	0.9	NNW	0.54	3.6	NNE	1.9	1.5	1.2	---	1033.0	0.00	0.0	---	---	---	0.111	0.000	15.1	53	5.5	14.1	9.95	1.2384	---	---	0.00	201	6	99.5	10
02/23/22	11:40 a	2.3	2.6	2.0	27	-14.8	0.4	ESE	0.27	1.8	ENE	2.3	1.5	1.5	---	1032.9	0.00	0.0	---	---	---	0.111	0.000	17.2	52	7.3	16.3	9.75	1.2276	---	---	0.00	200	6	99.0	10
02/23/22	11:50 a	2.9	3.2	2.6	26	-14.7	0.9	NE	0.54	2.7	ENE	2.7	2.1	1.8	---	1033.1	0.00	0.0	---	---	---	0.107	0.000	19.0	50	8.3	18.1	9.33	1.2194	---	---	0.00	204	6	100.0	10
02/23/22	12:00 p	3.1	3.2	2.9	28	-13.7	0.9	ENE	0.54	2.7	E	2.8	2.2	1.9	---	1033.1	0.00	0.0	---	---	---	0.106	0.000	20.6	49	9.5	19.7	9.07	1.2119	---	---	0.00	201	6	99.5	10
02/23/22	12:10 p	3.2	3.2	3.1	28	-13.6	1.3	E	0.80	2.7	E	2.1	2.3	1.3	---	1032.9	0.00	0.0	---	---	---	0.105	0.000	22.0	48	10.5	21.3	8.88	1.2048	---	---	0.00	203	6	100.0	10
02/23/22	12:20 p	3.1	3.1	3.0	29	-13.3	0.9	E	0.54	3.1	E	2.8	2.2	1.9	---	1032.7	0.00	0.0	---	---	---	0.106	0.000	23.4	48	11.8	23.2	8.93	1.1976	---	---	0.00	206	6	100.0	10
02/23/22	12:30 p	3.2	3.4	3.1	29	-13.1	0.4	ENE	0.27	2.7	ENE	3.2	2.4	2.4	---	1032.6	0.00	0.0	---	---	---	0.105	0.000	25.0	46	12.6	24.7	8.51	1.1902	---	---	0.00	204	6	100.0	10
02/23/22	12:40 p	3.2	3.4	2.9	30	-12.7	1.3	ENE	0.80	3.6	SE	2.2	2.4	1.3	---	1032.6	0.00	0.0	---	---	---	0.105	0.000	26.4	44	13.2	26.1	8.16	1.1837	---	---	0.00	203	6	100.0	10
02/23/22	12:50 p	3.1	3.2	2.9	29	-13.3	1.3	ENE	0.80	3.1	ENE	1.9	2.2	1.1	---	1032.4	0.00	0.0	---	---	---	0.106	0.000	27.5	43	13.8	27.1	8.02	1.1786	---	---	0.00	202	6	100.0	10
02/23/22	1:00 p	3.4	3.8	3.2	29	-13.0	0.9	ENE	0.54	1.8	NNE	3.2	2.6	2.3	---	1032.1	0.00	0.0	---	---	---	0.104	0.000	28.5	42	14.3	28.2	7.85	1.1737	---	---	0.00	201	6	99.5	10
02/23/22	1:10 p	3.8	3.9	3.6	28	-13.1	1.3	ENE	0.80	3.6	ENE	2.8	2.9	1.9	---	1032.3	0.00	0.0	---	---	---	0.101	0.000	29.4	40	14.4	29.0	7.55	1.1705	---	---	0.00	205	6	100.0	10
02/23/22	1:20 p	3.4	3.5	3.3	30	-12.5	1.3	E	0.80	2.7	E	2.4	2.6	1.6	---	1032.2	0.00	0.0	---	---	---	0.103	0.000	30.1	39	14.6	29.7	7.33	1.1675	---	---	0.00	200	6	99.0	10
02/23/22	1:30 p	3.6	3.7	3.3	29	-12.9	1.3	ENE	0.80	2.7	ESE	2.6	2.7	1.7	---	1032.0	0.00	0.0	---	---	---	0.103	0.000	30.5	38	14.6	30.1	7.21	1.1656	---	---	0.00	205	6	100.0	10
02/23/22	1:40 p	3.4	3.7	3.3	28	-13.4	1.3	ENE	0.80	3.6	SE	2.4	2.6	1.6	---	1032.1	0.00	0.0	---	---	---	0.103	0.000	31.0	37	14.6	30.6	6.99	1.1637	---	---	0.00	204	6	100.0	10
02/23/22	1:50 p	3.4	3.7	3.2	27	-13.8	0.9	ENE	0.54	2.7	E	3.2	2.6	2.3	---	1031.9	0.00	0.0	---	---	---	0.103	0.000	31.3	36	14.5	30.9	6.82	1.1624	---	---	0.00	204	6	100.0	10
